# FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
7.152136752136751445e-04,4.651526251526251227e-04,7.097435897435896675e-04,6.663736263736264129e-04,6.468376068376067902e-04,4.268620268620268378e-04,2.272039072039071705e-04,3.897435897435896955e-04,6.144078144078143813e-04,2.959706959706960051e-04,1.682051282051282015e-04,2.428327228327228037e-04,5.249328449328449168e-04,6.163614163614163219e-04,5.655677655677655413e-04,7.683516483516483189e-04,2.955799755799755520e-04,2.064957264957264864e-04,7.101343101343101207e-04,5.401709401709402052e-04,5.331379731379731323e-04,4.112332112332112047e-04,5.655677655677655413e-04
6.745787545787545201e-04,4.233455433455433014e-04,3.569230769230768876e-04,4.913308913308913652e-04,6.358974358974358362e-04,4.272527472527472368e-04,7.550671550671550795e-04,5.979975579975580586e-04,5.683028083028082798e-04,2.502564102564102484e-04,1.936019536019535918e-04,2.053235653235653167e-04,4.799999999999999580e-04,4.882051282051281735e-04,5.280586080586081085e-04,4.026373626373625902e-04,2.561172161172161244e-04,2.471306471306471109e-04,3.573137973137972866e-04,9.531623931623931780e-04,5.241514041514041189e-04,3.827106227106226769e-04,5.280586080586081085e-04
6.726251526251525795e-04,7.089621489621488696e-04,5.147741147741147607e-04,4.038095238095237871e-04,6.386324786324785747e-04,4.674969474969474623e-04,2.268131868131867987e-04,3.889621489621489518e-04,5.503296703296702529e-04,2.397069597069596933e-04,1.717216117216117108e-04,2.990964590964590884e-04,4.737484737484737372e-04,7.058363858363857863e-04,6.667643467643467577e-04,5.542368742368741340e-04,3.858363858363858144e-04,1.728937728937729077e-04,5.151648351648351054e-04,5.593162393162392663e-04,6.343345543345543487e-04,6.534798534798534099e-04,6.667643467643467577e-04
6.718437118437117815e-04,8.679853479853479395e-04,8.957264957264956693e-04,3.369963369963369744e-04,6.230036630036629415e-04,3.639560439560439605e-04,5.386080586080586093e-04,4.264713064713064931e-04,4.725763125763125946e-04,1.916483516483516512e-04,2.514285714285713911e-04,2.959706959706959509e-04,5.651770451770451965e-04,7.851526251526252031e-04,8.972893772893772652e-04,5.085225885225884857e-04,2.400976800976800923e-04,1.553113553113552798e-04,8.953357753357753246e-04,8.586080586080585813e-04,6.706715506715506389e-04,7.077899877899877269e-04,8.972893772893772652e-04
5.030525030525030087e-04,9.863736263736263849e-04,1.125079365079365143e-03,4.835164835164834944e-04,5.491575091575091102e-04,3.854456654456654154e-04,7.261538461538462070e-04,6.472283272283271350e-04,5.030525030525030087e-04,2.318925518925518767e-04,3.631746031746031626e-04,2.057142857142857156e-04,6.636385836385836744e-04,7.718681318681318553e-04,1.112185592185592140e-03,5.679120879120879350e-04,3.756776556776556582e-04,2.420512820512820329e-04,1.125470085470085379e-03,5.245421245421244636e-04,6.714529914529914368e-04,7.511599511599510899e-04,1.112185592185592140e-03
7.636630036630036398e-04,9.965323565323564326e-04,7.683516483516483189e-04,6.007326007326006887e-04,4.835164835164834944e-04,4.190476190476190212e-04,2.908913308913308729e-04,3.776312576312576530e-04,4.671062271062270633e-04,2.830769230769230563e-04,2.588522588522588087e-04,2.803418803418803720e-04,5.347008547008547281e-04,6.745787545787545201e-04,9.914529914529914088e-04,7.034920634920635010e-04,3.494993894993894700e-04,1.732844932844932796e-04,7.687423687423686636e-04,6.398046398046398258e-04,5.886202686202685920e-04,7.507692307692306367e-04,9.914529914529914088e-04
5.350915750915750729e-04,8.507936507936508189e-04,6.933333333333333449e-04,6.284737484737485270e-04,5.772893772893772932e-04,3.475457875457875294e-04,2.834676434676434553e-04,3.506715506715506669e-04,4.979731379731379848e-04,3.276190476190475620e-04,1.822710622710622659e-04,1.936019536019535918e-04,5.210256410256409272e-04,5.448595848595848843e-04,5.620512820512821132e-04,6.237851037851037395e-04,2.920634920634920155e-04,1.787545787545787295e-04,6.937240537240536896e-04,6.480097680097679329e-04,6.753601953601953180e-04,5.327472527472527876e-04,5.620512820512821132e-04
7.421733821733820765e-04,8.386813186813186138e-04,9.305006105006104720e-04,5.511111111111110508e-04,6.159706959706958687e-04,4.213919413919413608e-04,2.815140415140415147e-04,3.284004884004884141e-04,5.132112332112331648e-04,2.459584859584859682e-04,1.861782661782661742e-04,2.424420024420024318e-04,4.995360195360194723e-04,7.109157509157508102e-04,7.492063492063491493e-04,8.355555555555555305e-04,3.842735042735042727e-04,1.420268620268620404e-04,9.308913308913308168e-04,7.632722832722832950e-04,7.199023199023198236e-04,9.312820512820512700e-04,7.492063492063491493e-04
5.518925518925518487e-04,3.713797313797313239e-04,5.530647130647129914e-04,7.320146520146520288e-04,7.007570207570207625e-04,3.920879120879120351e-04,2.381440781440781517e-04,3.752869352869352593e-04,5.198534798534797845e-04,3.209768009768009423e-04,1.717216117216117108e-04,2.147008547008547020e-04,4.975824175824175317e-04,5.042246642246641514e-04,5.925274725274725816e-04,8.191452991452992079e-04,2.635409035409034878e-04,1.967277167277167293e-04,5.534554334554334445e-04,4.370207570207569939e-04,5.851037851037850556e-04,5.577533577533576705e-04,5.925274725274725816e-04
4.983638583638583296e-04,2.979242979242979457e-04,3.858363858363858144e-04,4.319413919413919159e-04,5.647863247863248518e-04,3.405128205128204566e-04,1.939926739926739637e-04,2.819047619047619136e-04,6.194871794871794051e-04,2.803418803418803720e-04,1.560927960927961048e-04,2.303296703296703351e-04,3.784126984126983968e-04,3.670818070818070438e-04,5.718192918192918162e-04,6.882539682539682126e-04,1.939926739926739637e-04,1.209279609279609167e-04,3.862271062271062133e-04,2.838583638583638542e-04,5.378266178266178114e-04,3.112087912087911851e-04,5.718192918192918162e-04
5.323565323565323344e-04,4.979731379731379848e-04,5.272771672771672021e-04,7.523321123321122326e-04,5.972161172161172607e-04,3.170695970695970611e-04,2.502564102564102484e-04,3.248840048840048777e-04,5.327472527472527876e-04,2.092307692307692249e-04,1.619536019536019266e-04,2.229059829059828904e-04,4.381929181929181366e-04,4.096703296703296630e-04,5.581440781440780152e-04,6.757509157509156627e-04,2.025885225885225782e-04,1.705494505494505411e-04,5.276678876678875469e-04,5.069597069597069983e-04,4.538217338217337697e-04,4.335042735042734575e-04,5.581440781440780152e-04
9.902808302808302661e-04,8.515750915750916169e-04,5.171184371184370460e-04,7.425641025641025296e-04,9.136996336996336962e-04,3.620024420024420199e-04,6.046398046398046783e-04,6.136263736263735833e-04,5.139926739926739627e-04,2.709645909645909596e-04,2.334554334554334455e-04,2.346275946275946152e-04,4.780463980463980174e-04,4.780463980463980174e-04,6.472283272283271350e-04,8.054700854700854069e-04,3.123809523809523820e-04,1.861782661782661742e-04,5.175091575091574992e-04,5.198534798534797845e-04,6.409768009768009684e-04,4.014652014652014475e-04,6.472283272283271350e-04
5.917460317460316753e-04,8.234432234432234338e-04,6.335531135531135508e-04,6.804395604395603418e-04,6.233943833943832863e-04,3.698168498168497823e-04,6.515262515262514693e-04,6.312087912087912655e-04,4.323321123321123148e-04,2.127472527472527614e-04,1.853968253968253763e-04,2.436141636141636016e-04,5.073504273504273430e-04,4.925030525030525078e-04,5.460317460317460269e-04,7.406105006105005890e-04,2.682295482295482211e-04,2.303296703296703351e-04,6.339438339438338956e-04,6.144078144078143813e-04,6.925518925518925470e-04,4.737484737484737372e-04,5.460317460317460269e-04
8.406349206349205544e-04,8.453235653235652335e-04,8.582173382173382365e-04,5.538461538461537893e-04,6.526984126984126120e-04,5.198534798534797845e-04,2.506471306471306473e-04,4.702319902319902008e-04,5.956532356532356649e-04,3.076923076923076487e-04,2.244688644688644591e-04,2.510378510378509921e-04,5.952625152625153201e-04,5.409523809523808947e-04,8.437606837606836377e-04,5.347008547008547281e-04,4.772649572649572737e-04,2.717460317460317575e-04,8.586080586080585813e-04,7.410012210012209338e-04,8.875213675213675622e-04,6.976312576312575708e-04,8.437606837606836377e-04
5.386080586080586093e-04,7.073992673992673822e-04,6.995848595848596198e-04,7.495970695970694941e-04,5.933089133089133795e-04,4.413186813186813283e-04,5.491575091575091102e-04,6.566056166056166016e-04,5.749450549450548995e-04,3.366056166056165754e-04,1.830525030525030367e-04,1.771916971916971879e-04,5.354822954822955261e-04,5.456410256410255738e-04,7.191208791208790257e-04,6.058119658119658210e-04,2.760439560439560376e-04,1.521855921855921694e-04,6.999755799755799646e-04,5.690842490842490777e-04,6.105006105006105001e-04,6.015140415140414866e-04,7.191208791208790257e-04
7.089621489621488696e-04,6.151892551892551792e-04,6.351159951159951467e-04,6.773137973137972586e-04,6.034676434676434272e-04,4.546031746031745677e-04,7.031013431013430478e-04,7.120879120879120613e-04,6.019047619047619398e-04,3.190231990231990017e-04,2.014163614163614084e-04,3.139438339438339778e-04,5.315750915750916449e-04,8.132844932844931693e-04,8.414163614163613523e-04,7.159951159951159425e-04,2.744810744810744418e-04,1.791452991452991284e-04,6.355067155067154914e-04,6.995848595848596198e-04,6.835653235653235335e-04,8.382905982905982691e-04,8.414163614163613523e-04
5.854945054945054003e-04,4.882051282051281735e-04,5.300122100122100490e-04,5.085225885225884857e-04,5.444688644688644311e-04,4.460073260073260074e-04,7.437362637362636723e-04,8.171916971916971589e-04,4.952380952380952463e-04,3.729426129426129197e-04,2.361904761904761569e-04,2.869841269841269917e-04,5.108669108669108795e-04,6.280830280830280738e-04,8.195360195360195527e-04,3.881807081807081539e-04,3.229304029304028829e-04,1.904761904761904814e-04,5.304029304029303938e-04,5.401709401709402052e-04,6.851282051282050209e-04,6.394139194139193726e-04,8.195360195360195527e-04
8.738461538461537613e-04,7.660073260073260335e-04,7.003663003663003093e-04,8.656410256410255457e-04,7.628815628815628419e-04,4.608547008547008426e-04,8.257875457875457192e-04,8.886935286935287049e-04,5.315750915750916449e-04,3.014407814407814279e-04,2.350183150183149871e-04,2.705738705738705606e-04,4.975824175824175317e-04,8.699389499389498801e-04,8.929914529914529308e-04,8.566544566544566407e-04,2.740903540903540971e-04,1.728937728937729077e-04,7.007570207570207625e-04,6.491819291819290755e-04,5.874481074481073409e-04,7.933577533577533102e-04,8.929914529914529308e-04
9.011965811965811464e-04,1.804932844932845021e-03,1.241514041514041322e-03,7.976556776556776446e-04,5.983882783882784034e-04,4.288156288156288326e-04,1.075457875457875613e-03,9.984859584859584816e-04,6.167521367521366666e-04,5.171184371184370460e-04,7.109157509157508102e-04,8.019536019536018705e-04,8.273504273504273150e-04,1.400146520146520156e-03,1.282148962148962163e-03,7.050549450549449884e-04,2.787789987789987219e-04,1.924297924297924220e-04,1.241123321123321086e-03,8.836141636141635726e-04,8.914285714285714434e-04,1.005909645909645791e-03,1.282148962148962163e-03
1.085616605616605661e-03,1.892844932844932673e-03,1.514236874236874267e-03,9.351892551892551511e-04,7.101343101343101207e-04,5.136019536019536180e-04,1.141880341880341810e-03,1.062173382173382374e-03,6.120634920634919875e-04,3.272283272283271630e-04,3.030036630036629696e-04,3.963858363858363694e-04,9.082295482295481108e-04,8.840048840048840258e-04,1.101636141636141422e-03,6.968498168498168813e-04,4.600732600732600447e-04,8.421978021978021502e-04,1.513846153846153814e-03,8.164102564102564694e-04,7.105250305250304654e-04,1.007472527472527387e-03,1.101636141636141422e-03
5.862759462759461982e-04,1.174310134310134219e-03,9.043223443223442296e-04,6.698901098901098410e-04,5.651770451770451965e-04,3.791941391941391947e-04,7.335775335775335162e-04,7.394383394383394464e-04,4.823443223443222975e-04,2.412698412698412620e-04,2.912820512820512718e-04,2.576800976800976660e-04,5.038339438339438066e-04,9.680097680097679048e-04,1.123125763125763094e-03,6.991941391941391666e-04,2.326739926739926476e-04,1.517948717948717976e-04,9.047130647130646828e-04,8.574358974358974386e-04,6.335531135531135508e-04,8.824420024420024300e-04,1.123125763125763094e-03
5.612698412698413153e-04,5.081318681318681410e-04,4.397557997557997324e-04,4.811721611721611548e-04,6.515262515262514693e-04,5.456410256410255738e-04,2.596336996336996066e-04,3.967765567765567684e-04,5.264957264957264042e-04,3.030036630036629696e-04,2.272039072039071705e-04,2.623687423687423451e-04,4.448351648351648105e-04,5.800244200244200317e-04,6.909890109890109511e-04,6.190964590964590604e-04,2.826862026862027115e-04,1.654700854700854630e-04,4.401465201465200772e-04,4.503052503052502875e-04,4.549938949938949666e-04,6.206593406593405478e-04,6.909890109890109511e-04
6.562148962148961484e-04,8.179731379731379568e-04,1.066080586080586255e-03,7.097435897435896675e-04,5.315750915750916449e-04,3.948229548229548278e-04,5.190720390720389866e-04,5.925274725274725816e-04,4.710134310134309445e-04,2.897191697191696760e-04,2.354090354090353861e-04,2.357997557997557850e-04,4.467887667887667511e-04,9.832478632478631932e-04,1.051233211233210986e-03,8.687667887667887374e-04,3.158974358974359184e-04,1.553113553113552798e-04,1.066471306471306491e-03,8.625152625152624625e-04,6.851282051282050209e-04,1.034822954822954555e-03,1.051233211233210986e-03
6.609035409035409359e-04,1.079755799755799731e-03,1.177826617826617647e-03,7.613186813186813545e-04,6.042490842490842251e-04,4.139682539682539432e-04,4.202197802197801639e-04,4.077167277167276682e-04,4.350671550671550533e-04,2.881562881562881344e-04,2.932356532356532124e-04,3.033943833943833685e-04,7.284981684981684923e-04,1.054749694749694631e-03,1.293870573870573807e-03,8.640781440781440583e-04,2.858119658119657948e-04,3.502808302808302679e-04,1.178217338217338100e-03,7.230280830280830153e-04,6.323809523809524082e-04,1.082100122100122016e-03,1.293870573870573807e-03
4.741391941391941362e-04,3.682539682539682406e-04,3.623931623931624189e-04,4.694505494505494029e-04,5.444688644688644311e-04,3.815384615384615342e-04,2.518192918192917900e-04,3.026129426129426248e-04,6.144078144078143813e-04,2.932356532356532124e-04,1.732844932844932796e-04,1.928205128205128210e-04,5.573626373626373257e-04,3.420757020757020524e-04,4.147496947496947411e-04,4.745299145299145351e-04,2.479120879120879088e-04,1.865689865689865461e-04,3.627838827838827636e-04,2.858119658119657948e-04,4.233455433455433014e-04,2.354090354090353861e-04,4.147496947496947411e-04
3.139438339438339778e-04,3.565323565323564887e-04,2.330647130647130465e-04,3.772405372405372541e-04,4.256898656898656951e-04,3.647374847374847584e-04,2.490842490842490515e-04,3.084737484737484466e-04,3.561416361416360897e-04,2.408791208791208631e-04,1.709401709401709129e-04,2.076678876678876562e-04,3.483272283272283274e-04,3.350427350427350338e-04,3.182417582417582580e-04,3.201953601953601986e-04,2.971428571428571478e-04,1.861782661782661742e-04,2.334554334554334455e-04,2.787789987789987219e-04,2.459584859584859682e-04,3.678632478632478417e-04,3.182417582417582580e-04
6.609035409035409359e-04,8.418070818070816971e-04,5.870573870573869962e-04,5.952625152625153201e-04,4.612454212454212416e-04,5.319658119658119896e-04,7.589743589743589607e-04,6.890354090354090105e-04,4.909401709401709120e-04,2.998778998778998863e-04,2.100122100122099958e-04,2.342368742368742163e-04,6.355067155067154914e-04,5.257142857142856063e-04,7.945299145299145613e-04,6.698901098901098410e-04,2.877655677655677354e-04,2.068864468864468854e-04,5.866666666666666514e-04,6.175335775335774645e-04,4.303785103785103742e-04,5.100854700854700816e-04,7.945299145299145613e-04
5.573626373626373257e-04,5.475946275946275144e-04,4.194383394383394202e-04,6.136263736263735833e-04,5.706471306471306735e-04,3.823199023199023321e-04,2.596336996336996066e-04,3.694261294261293833e-04,6.069841269841269637e-04,3.115995115995115841e-04,1.982905982905982980e-04,1.920390720390720231e-04,6.026862026862026293e-04,5.171184371184370460e-04,5.597069597069596111e-04,8.793162393162392383e-04,2.690109890109890190e-04,1.764102564102563899e-04,4.198290598290598192e-04,4.491330891330890906e-04,6.757509157509156627e-04,5.448595848595848843e-04,5.597069597069596111e-04
6.734065934065933774e-04,8.164102564102564694e-04,6.007326007326006887e-04,7.765567765567765344e-04,5.729914529914529589e-04,4.639804639804639801e-04,8.851770451770451685e-04,8.042979242979242643e-04,4.346764346764346544e-04,3.315262515262515516e-04,2.166544566544566426e-04,2.389255189255189225e-04,5.561904761904760746e-04,5.737728937728937568e-04,6.909890109890109511e-04,8.914285714285714434e-04,3.041758241758241665e-04,1.865689865689865461e-04,6.003418803418803440e-04,5.499389499389499081e-04,5.933089133089133795e-04,5.053968253968254025e-04,6.909890109890109511e-04
6.331623931623932061e-04,9.695726495726495007e-04,8.273504273504273150e-04,5.651770451770451965e-04,6.780952380952380565e-04,4.440537240537240668e-04,1.107106227106226899e-03,1.163760683760683501e-03,5.854945054945054003e-04,3.401221001221001118e-04,5.350915750915750729e-04,2.369719169719169819e-04,6.499633699633698735e-04,5.311843711843711917e-04,7.878876678876679416e-04,7.062271062271062395e-04,3.186324786324786027e-04,2.701831501831501617e-04,8.277411477411477682e-04,4.897680097680097693e-04,6.237851037851037395e-04,6.167521367521366666e-04,7.878876678876679416e-04
5.968253968253968075e-04,1.223931623931623965e-03,1.103199023199023018e-03,6.554334554334553505e-04,6.214407814407813457e-04,3.862271062271062133e-04,7.265445665445665517e-04,7.882783882783882864e-04,5.147741147741147607e-04,2.322832722832722757e-04,2.983150183150183447e-04,2.736996336996336981e-04,7.851526251526252031e-04,7.808547008547007603e-04,1.048498168498168464e-03,7.046642246642246437e-04,2.412698412698412620e-04,3.213675213675213412e-04,1.103589743589743688e-03,7.871062271062271437e-04,6.777045177045176033e-04,7.511599511599510899e-04,1.048498168498168464e-03
8.332112332112331368e-04,1.339194139194139002e-03,1.312234432234431853e-03,7.675702075702075210e-04,6.437118437118437069e-04,3.600488400488400251e-04,7.050549450549449884e-04,7.835897435897434989e-04,5.409523809523808947e-04,2.342368742368742163e-04,2.229059829059828904e-04,2.963614163614163499e-04,6.777045177045176033e-04,7.226373626373626706e-04,1.145787545787545691e-03,7.749938949938949386e-04,2.240781440781440602e-04,1.662515262515262609e-04,1.311843711843711834e-03,7.812454212454212135e-04,6.230036630036629415e-04,7.949206349206349061e-04,1.145787545787545691e-03
8.730647130647129633e-04,1.490402930402930310e-03,1.307936507936507953e-03,5.952625152625153201e-04,7.925763125763126207e-04,3.737240537240536634e-04,6.921611721611722022e-04,6.616849816849817338e-04,6.054212454212453678e-04,2.994871794871794874e-04,2.889377289377289323e-04,3.127716727716727809e-04,6.925518925518925470e-04,7.007570207570207625e-04,1.256361416361416591e-03,8.355555555555555305e-04,3.366056166056165754e-04,1.861782661782661742e-04,1.307545787545787283e-03,7.890598290598290843e-04,6.296459096459096696e-04,7.578021978021978180e-04,1.256361416361416591e-03
6.726251526251525795e-04,1.097338217338217304e-03,7.667887667887667230e-04,6.065934065934066189e-04,7.257631257631257538e-04,3.666910866910866990e-04,9.531623931623931780e-04,1.114529914529914425e-03,5.081318681318681410e-04,3.061294261294261070e-04,1.752380952380952202e-04,2.768253968253967814e-04,6.792673992673991992e-04,6.679365079365079004e-04,9.117460317460316472e-04,7.296703296703296350e-04,3.014407814407814279e-04,3.424664224664224514e-04,7.671794871794871762e-04,7.800732600732599624e-04,6.476190476190475881e-04,7.433455433455433276e-04,9.117460317460316472e-04
5.952625152625153201e-04,1.043028083028082987e-03,1.222759462759462606e-03,6.905982905982906064e-04,6.757509157509156627e-04,4.987545787545786743e-04,1.020366300366300390e-03,1.030525030525030654e-03,4.956288156288155911e-04,3.069108669108669050e-04,1.803174603174603253e-04,3.397313797313797129e-04,5.475946275946275144e-04,6.573870573870573995e-04,1.022319902319902222e-03,8.937728937728937288e-04,2.623687423687423451e-04,1.486691086691086872e-04,1.223150183150183276e-03,6.648107448107448171e-04,6.835653235653235335e-04,5.108669108669108795e-04,1.022319902319902222e-03
6.026862026862026293e-04,7.288888888888888371e-04,5.854945054945054003e-04,5.976068376068376055e-04,6.331623931623932061e-04,3.858363858363858144e-04,7.312332112332112308e-04,7.667887667887667230e-04,5.479853479853479675e-04,3.170695970695970611e-04,1.642979242979242932e-04,2.795604395604395199e-04,5.878388278388277941e-04,4.706227106227105998e-04,6.319902319902319550e-04,7.148229548229547998e-04,3.049572649572649644e-04,1.416361416361416414e-04,5.858852258852258535e-04,7.675702075702075210e-04,5.315750915750916449e-04,2.690109890109890190e-04,6.319902319902319550e-04
5.448595848595848843e-04,1.029743589743589748e-03,1.273162393162393042e-03,6.468376068376067902e-04,5.933089133089133795e-04,3.901343101343100945e-04,8.078144078144078007e-04,8.082051282051281454e-04,5.503296703296702529e-04,3.108180708180707861e-04,1.986813186813186699e-04,2.936263736263736114e-04,6.991941391941391666e-04,7.167765567765567404e-04,1.145787545787545691e-03,6.968498168498168813e-04,2.611965811965811482e-04,1.627350427350427245e-04,1.273553113553113712e-03,7.937484737484737634e-04,5.894017094017092815e-04,8.132844932844931693e-04,1.145787545787545691e-03
6.636385836385836744e-04,8.765811965811964998e-04,7.066178266178265843e-04,5.221978021978021783e-04,5.698656898656898756e-04,4.639804639804639801e-04,6.362881562881562893e-04,6.780952380952380565e-04,5.507203907203907060e-04,2.713553113553113585e-04,2.604151404151404045e-04,3.647374847374847584e-04,5.522832722832721935e-04,6.183150183150182624e-04,6.265201465201465864e-04,8.156288156288155631e-04,2.568986568986568681e-04,1.963369963369963303e-04,7.062271062271062395e-04,7.480341880341880067e-04,6.472283272283271350e-04,5.534554334554334445e-04,6.265201465201465864e-04
5.225885225885225230e-04,4.518681318681318291e-04,2.897191697191696760e-04,3.885714285714285529e-04,4.803907203907203569e-04,3.881807081807081539e-04,3.979487179487179111e-04,5.096947496947496284e-04,3.913064713064712372e-04,2.697924297924297627e-04,1.611721611721611558e-04,1.697680097680097431e-04,4.374114774114773929e-04,3.979487179487179111e-04,5.155555555555555586e-04,4.764835164835164757e-04,3.076923076923076487e-04,1.689865689865689723e-04,2.901098901098900749e-04,3.416849816849816535e-04,3.745054945054944614e-04,4.073260073260072693e-04,5.155555555555555586e-04
